/,Course Name,Website,Address One,Address Two,City,State,Country,Postal Code
course,Heron Creek Country Club,https://www.heroncreekgcc.com/,5301 Heron Creek Blvd.,,North Port,FL,US,34287
endnine,,,,,,,,
/,Nine Name,,,,,,,
nine,Creek,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Black,36,36.25,3374,143,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,366,,,,
hole,2,4,7,369,,,,
hole,3,3,9,174,,,,
hole,4,5,2,503,,,,
hole,5,3,8,157,,,,
hole,6,5,1,544,,,,
hole,7,4,4,455,,,,
hole,8,4,6,385,,,,
hole,9,4,5,421,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Blue,36,35.5,3178,140,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,341,,,,
hole,2,4,7,334,,,,
hole,3,3,9,160,,,,
hole,4,5,2,493,,,,
hole,5,3,8,142,,,,
hole,6,5,1,514,,,,
hole,7,4,4,438,,,,
hole,8,4,6,354,,,,
hole,9,4,5,402,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,White (M),36,34.25,2901,122,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,322,,,,
hole,2,4,7,299,,,,
hole,3,3,9,117,,,,
hole,4,5,2,463,,,,
hole,5,3,8,134,,,,
hole,6,5,1,477,,,,
hole,7,4,4,407,,,,
hole,8,4,6,320,,,,
hole,9,4,5,362,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,White (L),36,37.65,2901,136,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,322,,,,
hole,2,4,7,299,,,,
hole,3,3,9,117,,,,
hole,4,5,2,463,,,,
hole,5,3,8,134,,,,
hole,6,5,1,477,,,,
hole,7,4,4,407,,,,
hole,8,4,6,320,,,,
hole,9,4,5,362,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (M),36,33.2,2644,117,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,285,,,,
hole,2,4,7,279,,,,
hole,3,3,9,107,,,,
hole,4,5,2,421,,,,
hole,5,3,8,127,,,,
hole,6,5,1,434,,,,
hole,7,4,4,376,,,,
hole,8,4,6,281,,,,
hole,9,4,5,334,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (L),36,35.8,2644,130,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,3,285,,,,
hole,2,4,7,279,,,,
hole,3,3,9,107,,,,
hole,4,5,2,421,,,,
hole,5,3,8,127,,,,
hole,6,5,1,434,,,,
hole,7,4,4,376,,,,
hole,8,4,6,281,,,,
hole,9,4,5,334,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Gold (M),36,32,2454,111,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,7,285,,,,
hole,2,4,8,225,,,,
hole,3,3,9,97,,,,
hole,4,5,2,421,,,,
hole,5,3,3,119,,,,
hole,6,5,1,437,,,,
hole,7,4,4,357,,,,
hole,8,4,5,204,,,,
hole,9,4,6,309,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Gold (L),36,34.3,2454,124,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,7,285,,,,
hole,2,4,8,225,,,,
hole,3,3,9,97,,,,
hole,4,5,2,421,,,,
hole,5,3,3,119,,,,
hole,6,5,1,437,,,,
hole,7,4,4,357,,,,
hole,8,4,5,204,,,,
hole,9,4,6,309,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Red (M),36,31.35,2191,109,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,7,252,,,,
hole,2,4,8,225,,,,
hole,3,3,9,85,,,,
hole,4,5,2,377,,,,
hole,5,3,3,85,,,,
hole,6,5,1,361,,,,
hole,7,4,4,300,,,,
hole,8,4,5,204,,,,
hole,9,4,6,302,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Red (L),36,33.4,2191,115,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,4,7,252,,,,
hole,2,4,8,225,,,,
hole,3,3,9,85,,,,
hole,4,5,2,377,,,,
hole,5,3,3,85,,,,
hole,6,5,1,361,,,,
hole,7,4,4,300,,,,
hole,8,4,5,204,,,,
hole,9,4,6,302,,,,
endtee,,,,,,,,
endnine,,,,,,,,
endcourse,,,,,,,,
